BMRC,1382434200000,43.26
BMRC,1382440080000,43.26
BMRC,1382440200000,43.26
BMRC,1382440320000,43.42
BMRC,1382440380000,43.37
BMRC,1382440860000,43.26
BMRC,1382440920000,43.45
BMRC,1382441040000,43.49
BMRC,1382441100000,43.8
BMRC,1382441280000,43.86
BMRC,1382441400000,43.94
BMRC,1382441460000,43.79
BMRC,1382441580000,43.64
BMRC,1382441700000,43.65
BMRC,1382441760000,43.69
BMRC,1382441820000,43.82
BMRC,1382442000000,43.77
BMRC,1382442120000,43.79
BMRC,1382442300000,43.77
BMRC,1382442360000,43.55
BMRC,1382442480000,43.73
BMRC,1382442720000,43.71
BMRC,1382442780000,43.56
BMRC,1382442840000,43.4101
BMRC,1382442900000,43.6
BMRC,1382444160000,43.69
BMRC,1382445600000,43.52
BMRC,1382446020000,43.58
BMRC,1382447160000,43.5
BMRC,1382447220000,43.5001
BMRC,1382448120000,43.64
BMRC,1382449080000,43.5
BMRC,1382450520000,43.73
BMRC,1382451900000,43.54
BMRC,1382452200000,43.74
BMRC,1382453280000,43.6
BMRC,1382453640000,43.74
BMRC,1382454660000,43.73
BMRC,1382454720000,43.73
BMRC,1382454780000,43.78
BMRC,1382454900000,43.67
BMRC,1382455080000,43.7
BMRC,1382456580000,43.8
BMRC,1382457240000,43.66
BMRC,1382457300000,43.71
BMRC,1382457420000,43.69
BMRC,1382457480000,43.55
BMRC,1382457540000,43.93
